episode_idx,success,gripper_grabbed_mug_handle,gripper_grabbed_mug_body,gripper_grasp_slipped,gripper_knocked_over_mug,mug_collided_with_coffee_machine,gripper_collided_with_coffee_machine,mug_upright_at_end_of_episode,mug_tilted_during_transport,gripper_never_attempted_grasp,gripper_repeatedly_missed_mug,gripper_grasp_retry,mug_successfully_placed_under_dispenser
0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,1,1
2,0,1,0,0,0,0,0,1,0,0,0,0,0
3,0,0,1,1,0,0,0,0,1,0,0,0,0
4,0,1,0,0,0,0,0,1,0,0,0,0,0
5,0,1,0,1,1,0,0,0,1,0,1,1,0
6,0,1,0,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,0,1,0,0,0,0,0
8,1,1,0,0,0,0,0,1,0,0,0,0,1
9,0,1,0,0,0,0,0,1,0,0,0,0,0
10,1,1,0,0,0,0,0,1,0,0,0,0,1
11,0,1,0,0,0,0,0,1,0,0,0,1,0
12,1,0,1,1,0,1,1,0,1,0,0,0,1
13,0,1,0,0,0,0,0,1,0,0,0,0,0
14,0,1,0,1,0,0,0,0,1,0,0,0,0
15,1,0,1,1,1,0,0,0,0,0,1,1,1
16,0,1,0,0,0,0,0,1,0,0,0,0,0
17,1,1,0,0,0,0,0,0,1,0,0,0,1
18,0,1,0,0,0,0,0,1,0,0,0,0,0
19,0,1,0,0,0,0,0,1,0,0,0,0,0
20,1,1,0,0,0,0,0,1,0,0,0,1,1
21,0,1,0,0,0,0,0,1,0,0,0,0,0
22,1,1,0,0,0,0,0,1,0,0,0,1,1
23,0,0,1,0,0,0,0,0,0,0,1,1,0
24,1,1,0,0,0,0,0,1,0,0,0,0,1
25,1,1,0,0,0,0,0,1,0,0,0,1,1
26,0,1,0,0,0,0,0,1,0,0,0,1,0
27,0,1,0,0,0,0,0,1,0,0,0,0,0
28,0,1,0,0,0,0,0,1,0,0,0,0,0
29,0,1,0,0,0,0,0,1,0,0,0,0,0
30,0,0,1,1,1,0,1,0,1,0,0,0,0
31,1,1,0,0,0,0,0,1,0,0,0,1,1
32,0,1,0,0,0,0,0,1,0,0,0,0,0
33,1,1,0,0,0,0,0,1,0,0,0,0,1
34,0,1,0,0,0,0,0,1,0,0,0,0,0
35,1,1,0,0,0,0,0,1,0,0,0,1,1
36,0,1,0,0,0,0,0,1,0,0,0,0,0
37,1,0,1,1,1,0,1,0,1,0,0,1,1
38,0,1,0,0,0,0,0,1,0,0,0,0,0
39,0,1,0,0,0,0,0,1,0,0,0,0,0
40,0,1,0,0,0,0,0,1,0,0,0,1,0
41,0,1,0,0,0,0,0,1,0,0,0,0,0
42,0,0,1,1,1,0,1,0,1,0,1,0,0
43,1,1,0,0,0,0,0,1,0,0,0,0,1
44,0,1,0,0,0,0,0,1,0,0,0,0,0
45,0,1,0,0,0,0,0,1,0,0,0,0,0
46,0,1,0,0,0,0,0,1,0,0,0,0,0
47,1,0,1,1,0,0,0,1,1,0,0,0,1
48,0,1,0,0,0,0,0,1,0,0,0,0,0
49,1,1,0,1,0,0,0,1,0,0,0,0,1
